y0,x0,x1,x2,x3
0.04676752675689026,9.95,0.0003861591,11.0,200.0
0.046304481937515116,9.95,0.0003861591,11.0,202.0
0.04585051642832379,9.95,0.0003861591,11.0,204.0
0.04540536578338861,9.95,0.0003861591,11.0,206.0
0.044968775727779096,9.95,0.0003861591,11.0,208.0
0.044540501673228816,9.95,0.0003861591,11.0,210.0
0.044120308261217225,9.95,0.0003861591,11.0,212.0
0.04370796893167314,9.95,0.0003861591,11.0,214.0
0.04330326551563913,9.95,0.0003861591,11.0,216.0
0.04290598785035804,9.95,0.0003861591,11.0,218.0
0.042515933415354784,9.95,0.0003861591,11.0,220.0
0.057821669444882505,9.95,0.0003861591,13.6,200.0
0.0572491776682005,9.95,0.0003861591,13.6,202.0
0.05668791122047304,9.95,0.0003861591,13.6,204.0
0.056137543150371366,9.95,0.0003861591,13.6,206.0
0.055597759081617786,9.95,0.0003861591,13.6,208.0
0.05506825661417381,9.95,0.0003861591,13.6,210.0
0.054548744759323115,9.95,0.0003861591,13.6,212.0
0.05403894340643225,9.95,0.0003861591,13.6,214.0
0.05353858281933565,9.95,0.0003861591,13.6,216.0
0.053047403160442666,9.95,0.0003861591,13.6,218.0
0.052565154040802274,9.95,0.0003861591,13.6,220.0
0.06887581213287475,9.95,0.0003861591,16.2,200.0
0.0681938733988859,9.95,0.0003861591,16.2,202.0
0.06752530601262231,9.95,0.0003861591,16.2,204.0
0.06686972051735414,9.95,0.0003861591,16.2,206.0
0.0662267424354565,9.95,0.0003861591,16.2,208.0
0.06559601155511881,9.95,0.0003861591,16.2,210.0
0.064977181257429,9.95,0.0003861591,16.2,212.0
0.06436991788119135,9.95,0.0003861591,16.2,214.0
0.06377390012303218,9.95,0.0003861591,16.2,216.0
0.06318881847052729,9.95,0.0003861591,16.2,218.0
0.06261437466624978,9.95,0.0003861591,16.2,220.0
0.079929954820867,9.95,0.0003861591,18.8,200.0
0.07913856912957129,9.95,0.0003861591,18.8,202.0
0.07836270080477158,9.95,0.0003861591,18.8,204.0
0.0776018978843369,9.95,0.0003861591,18.8,206.0
0.07685572578929518,9.95,0.0003861591,18.8,208.0
0.07612376649606381,9.95,0.0003861591,18.8,210.0
0.0754056177555349,9.95,0.0003861591,18.8,212.0
0.07470089235595047,9.95,0.0003861591,18.8,214.0
0.07400921742672871,9.95,0.0003861591,18.8,216.0
0.07333023378061193,9.95,0.0003861591,18.8,218.0
0.07266359529169727,9.95,0.0003861591,18.8,220.0
0.09098409750885923,9.95,0.0003861591,21.4,200.0
0.09008326486025667,9.95,0.0003861591,21.4,202.0
0.08920009559692081,9.95,0.0003861591,21.4,204.0
0.08833407525131964,9.95,0.0003861591,21.4,206.0
0.08748470914313387,9.95,0.0003861591,21.4,208.0
0.08665152143700879,9.95,0.0003861591,21.4,210.0
